Item,Group,Object,Color,ImageName
1,A,Ballon,gruen,item01_Ballon_gruen.png
2,A,Brille,gruen,item02_Brille_gruen.png
3,A,Eimer,blau,item03_Eimer_blau.png
4,A,Feder,schwarz,item04_Feder_schwarz.png
5,A,Flasche,blau,item05_Flasche_blau.png
6,A,Glocke,rot,item06_Glocke_rot.png
7,A,Handtuch,blau,item07_Handtuch_blau.png
8,A,Helm,gelb,item08_Helm_gelb.png
9,A,Hemd,lila,item09_Hemd_lila.png
10,A,Hocker,blau,item10_Hocker_blau.png
11,A,Hut,schwarz,item11_Hut_schwarz.png
12,A,Kamm,gruen,item12_Kamm_gruen.png
13,A,Kappe,schwarz,item13_Kappe_schwarz.png
14,A,Kissen,rot,item14_Kissen_rot.png
15,A,Koffer,gelb,item15_Koffer_gelb.png
16,A,Lampe,gelb,item16_Lampe_gelb.png
17,A,Maske,lila,item17_Maske_lila.png
18,A,Matte,pink,item18_Matte_pink.png
19,A,Messer,lila,item19_Messer_lila.png
20,A,Mixer,schwarz,item20_Mixer_schwarz.png
21,A,Muetze,rot,item21_Muetze_rot.png
22,A,Ordner,rot,item22_Ordner_rot.png
23,A,Pfeife,pink,item23_Pfeife_pink.png
24,A,Rock,orange,item24_Rock_orange.png
25,A,Rucksack,pink,item25_Rucksack_pink.png
26,A,Schal,pink,item26_Schal_pink.png
27,A,Schere,orange,item27_Schere_orange.png
28,A,Schirm,lila,item28_Schirm_lila.png
29,A,Schleife,blau,item29_Schleife_blau.png
30,A,Schuessel,blau,item30_Schuessel_blau.png
31,A,Schuh,schwarz,item31_Schuh_schwarz.png
32,A,Schwamm,lila,item32_Schwamm_lila.png
33,A,Seil,orange,item33_Seil_orange.png
34,A,Stuhl,pink,item34_Stuhl_pink.png
35,A,Tasche,gruen,item35_Tasche_gruen.png
36,A,Tasse,gelb,item36_Tasse_gelb.png
37,A,Teller,gruen,item37_Teller_gruen.png
38,A,Topf,rot,item38_Topf_rot.png
39,A,Tshirt,orange,item39_Tshirt_orange.png
40,A,Vase,orange,item40_Vase_orange.png
41,A,Wecker,gelb,item41_Wecker_gelb.png
42,A,Wuerfel,rot,item42_Wuerfel_rot.png
1,B,Ballon,pink,item01_Ballon_pink.png
2,B,Brille,orange,item02_Brille_orange.png
3,B,Eimer,orange,item03_Eimer_orange.png
4,B,Feder,rot,item04_Feder_rot.png
5,B,Flasche,lila,item05_Flasche_lila.png
6,B,Glocke,gruen,item06_Glocke_gruen.png
7,B,Guertel,schwarz,item07_Guertel_schwarz.png
8,B,Handtuch,lila,item08_Handtuch_lila.png
9,B,Helm,gruen,item09_Helm_gruen.png
10,B,Hemd,orange,item10_Hemd_orange.png
11,B,Hocker,pink,item11_Hocker_pink.png
12,B,Hut,gelb,item12_Hut_gelb.png
13,B,Kamm,schwarz,item13_Kamm_schwarz.png
14,B,Kappe,gelb,item14_Kappe_gelb.png
15,B,Kissen,gelb,item15_Kissen_gelb.png
16,B,Knopf,pink,item16_Knopf_pink.png
17,B,Loeffel,rot,item17_Loeffel_rot.png
18,B,Maske,blau,item18_Maske_blau.png
19,B,Matte,rot,item19_Matte_rot.png
20,B,Messer,blau,item20_Messer_blau.png
21,B,Muetze,blau,item21_Muetze_blau.png
22,B,Ordner,gruen,item22_Ordner_gruen.png
23,B,Pfeife,rot,item23_Pfeife_rot.png
24,B,Rock,pink,item24_Rock_pink.png
25,B,Rucksack,schwarz,item25_Rucksack_schwarz.png
26,B,Schal,lila,item26_Schal_lila.png
27,B,Schere,gelb,item27_Schere_gelb.png
28,B,Schirm,pink,item28_Schirm_pink.png
29,B,Schleife,orange,item29_Schleife_orange.png
30,B,Schuessel,lila,item30_Schuessel_lila.png
31,B,Schuh,orange,item31_Schuh_orange.png
32,B,Schwamm,gelb,item32_Schwamm_gelb.png
33,B,Seil,blau,item33_Seil_blau.png
34,B,Stuhl,rot,item34_Stuhl_rot.png
35,B,Tasche,blau,item35_Tasche_blau.png
36,B,Tasse,gruen,item36_Tasse_gruen.png
37,B,Teller,rot,item37_Teller_rot.png
38,B,Topf,schwarz,item38_Topf_schwarz.png
39,B,Tshirt,gruen,item39_Tshirt_gruen.png
40,B,Vase,gruen,item40_Vase_gruen.png
41,B,Wecker,lila,item41_Wecker_lila.png
42,B,Wuerfel,schwarz,item42_Wuerfel_schwarz.png
